datetime,FST_Thermocouple_Handheld,AirTemp,SolarA,dp,ws,SolarB,treatment,date,FruitSize(mm),FST_SolarA_WeatherBased,FST_SolarB_WeatherBAsed
7/12/2022 12:39,29.1,29.6,871,24.55058572,0.29,84,Control,7/12/2022,47,54.49,42.24
7/12/2022 12:41,31.3,29.6,870,22.93014265,0.28,84,Control,7/12/2022,47,54.48,42.11
7/12/2022 12:42,29.9,29.4,873,22.24399541,0.28,84,Control,7/12/2022,47,54.21,41.77
7/12/2022 12:44,30.2,30.2,874,21.11590533,0.31,85,Control,7/12/2022,47,54.04,42.03
7/12/2022 12:46,29.5,29.9,875,21.00242454,0.25,84,Control,7/12/2022,47,55.46,42.57
7/12/2022 12:47,30,30.3,876,20.14488972,0.29,86,Control,7/12/2022,47,54.54,42.26
7/12/2022 12:50,30.3,30.3,879,22.00301111,0.34,89,Control,7/12/2022,47,53.63,41.97
7/12/2022 12:53,33.6,29.8,881,22.9724144,0.27,91,Control,7/12/2022,47,55.17,42.6
7/12/2022 12:54,30.6,29.7,881,22.72853115,0.27,91,Control,7/12/2022,47,55.02,42.45
7/12/2022 12:55,30.6,29.7,883,21.59897465,0.28,92,Control,7/12/2022,47,54.56,42.11
7/12/2022 12:56,30.2,29.7,883,21.80945678,0.26,93,Control,7/12/2022,47,55.2,42.48
7/12/2022 12:58,29.3,30,876,18.58261346,0.25,100,Control,7/12/2022,47,55.16,42.5
7/12/2022 13:00,29.8,29.4,880,20.83550066,0.23,137,Control,7/12/2022,47,55.69,43.26
7/12/2022 13:01,29.3,29.6,880,20.96853698,0.23,138,Control,7/12/2022,47,55.92,43.52
7/12/2022 13:02,29.9,29.9,881,23.55621177,0.33,132,Control,7/12/2022,47,53.73,42.57
7/12/2022 14:13,34.4,30.6,861,22.09575683,0.32,156,Control,7/12/2022,47,54.17,43.58
7/12/2022 14:14,33.8,30.8,860,24.75105196,0.38,155,Control,7/12/2022,47,53.44,43.44
7/12/2022 14:16,34.66666667,30.7,859,24.22134416,0.35,157,Control,7/12/2022,47,53.88,43.65
7/12/2022 14:17,33.8,30.7,858,21.86087277,0.21,157,Control,7/12/2022,47,57.59,45.62
7/12/2022 14:18,33.55,30.6,857,23.95470474,0.27,158,Control,7/12/2022,47,55.79,44.72
7/12/2022 14:19,34.9,31.3,856,26.4584527,0.38,159,Control,7/12/2022,47,54.17,44.32
7/12/2022 14:20,32.2,30.8,855,24.12026811,0.33,159,Control,7/12/2022,47,54.37,44.04
7/12/2022 14:21,36.5,30.8,855,22.76608693,0.31,159,Control,7/12/2022,47,54.65,44.1
7/12/2022 15:39,35,33.8,741,22.76606162,0.48,191,Control,7/12/2022,47,52.94,45.79
7/12/2022 15:40,39.5,34,768,22.5695052,0.45,200,Control,7/12/2022,47,53.92,46.38
7/12/2022 15:41,33.5,33.4,787,21.63206736,0.41,207,Control,7/12/2022,47,54.07,46.11
7/12/2022 15:42,34.9,33.8,765,22.38597365,0.42,204,Control,7/12/2022,47,54.13,46.51
7/12/2022 15:43,34.1,33.8,804,22.67175373,0.42,212,Control,7/12/2022,47,54.7,46.66
7/12/2022 15:44,33.3,34,771,23.35402855,0.45,205,Control,7/12/2022,47,54.08,46.57
7/12/2022 15:45,33.35,33.6,628,21.08346046,0.41,170,Control,7/12/2022,47,52.03,45.72
7/12/2022 15:46,32.7,33,519,21.55604663,0.43,148,Control,7/12/2022,47,49.7,44.65
7/12/2022 15:48,33.3,33.3,559,22.73830899,0.44,154,Control,7/12/2022,47,50.59,45.14
7/12/2022 15:49,32.6,34.3,674,21.30678155,0.5,184,Control,7/12/2022,47,52.12,45.84
7/12/2022 17:27,32.3,33.1,499,26.33184902,0.47,559,Control,7/12/2022,47,49.74,50.52
